"region","crop","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"01 Stockholm county","winter wheat",6340,6350,5710,5920,3890,6420,7010,5700,6210,4530
"01 Stockholm county","spring wheat",4090,4230,3640,4100,1770,..,..,..,..,1600
"01 Stockholm county","rye",..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","winter barley",..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","spring barley",4180,4140,4190,4330,2250,3630,4570,2540,4580,2070
"01 Stockholm county","oats",3980,3620,2900,3780,1550,3820,4420,2710,4250,2500
"01 Stockholm county","Winter triticale",..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","spring triticale",..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","mixed grain",..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","peas",3230,3400,3490,2900,1590,3060,3340,1990,3510,1790
"01 Stockholm county","field beans",..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","corn",..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","table potatoes",..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","sugar beets",..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","winter rape",3050,3420,3050,3140,1740,3020,3480,2930,2350,1790
"01 Stockholm county","spring rape",1770,..,2080,1860,1380,..,..,..,2590,2090
"01 Stockholm county","winter turnip rape",..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","spring turnip rape",..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","oil flax",..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","temporary grasses",..,4480,3100,3260,2550,4600,4200,4120,2590,2840
"01 Stockholm county","temporary grasses. First cut",..,3840,2270,3090,1650,2770,3450,3570,2340,1690
"01 Stockholm county","temporary grasses. Re-growth",..,..,..,..,910,1840,..,..,..,..
"03 Uppsala county","winter wheat",6860,7240,6080,6330,3780,7250,7520,6520,6020,4890
"03 Uppsala county","spring wheat",4700,5300,4490,4800,2270,4280,5170,3490,4520,2390
"03 Uppsala county","rye",4800,5710,..,..,3610,5590,6010,5170,..,..
"03 Uppsala county","winter barley",..,..,..,..,..,..,..,..,4800,..
"03 Uppsala county","spring barley",4660,4840,5010,5070,2540,4910,5050,3270,4760,2360
"03 Uppsala county","oats",4300,4650,4030,4520,2080,4600,4540,2780,4140,2210
"03 Uppsala county","Winter triticale",6270,6000,5180,..,..,..,..,..,..,..
"03 Uppsala county","spring triticale",..,..,..,..,..,..,..,..,..,..
"03 Uppsala county","mixed grain",..,..,..,..,..,..,..,..,..,..
"03 Uppsala county","peas",3160,3770,3700,3290,2210,3610,3540,2950,3500,1840
"03 Uppsala county","field beans",..,..,..,..,..,..,..,2430,2810,1490
"03 Uppsala county","corn",..,..,..,..,..,..,..,..,..,..
"03 Uppsala county","table potatoes",..,..,..,..,..,..,..,..,..,..
"03 Uppsala county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..
"03 Uppsala county","sugar beets",..,..,..,..,..,..,..,..,..,..
"03 Uppsala county","winter rape",3340,3620,3200,3380,1560,2830,3660,3450,2060,2220
"03 Uppsala county","spring rape",1980,2340,2490,1950,1390,..,2560,2140,2790,2390
"03 Uppsala county","winter turnip rape",..,..,..,..,..,..,..,..,..,..
"03 Uppsala county","spring turnip rape",..,..,..,..,..,..,..,..,..,..
"03 Uppsala county","oil flax",..,1990,2140,..,..,..,..,..,..,..
"03 Uppsala county","temporary grasses",5720,4380,4600,3390,3370,4460,4880,4910,5990,4740
"03 Uppsala county","temporary grasses. First cut",3450,2620,2590,2600,1700,2740,3170,3110,3420,2130
"03 Uppsala county","temporary grasses. Re-growth",..,1770,2010,..,1680,1720,1710,1800,2580,2610
"04 Södermanland county","winter wheat",6890,7090,6160,6280,4260,7020,7240,6510,6670,4470
"04 Södermanland county","spring wheat",4160,4700,4710,4240,2360,3940,3850,1790,4100,2120
"04 Södermanland county","rye",4420,..,..,..,..,..,5020,..,..,..
"04 Södermanland county","winter barley",..,..,..,..,..,..,..,..,..,..
"04 Södermanland county","spring barley",4520,5090,4870,4870,2600,4210,4230,2730,4750,2830
"04 Södermanland county","oats",3880,4220,3730,3740,2040,4040,4510,2980,4190,2340
"04 Södermanland county","Winter triticale",6310,6060,4750,5660,3810,6390,6400,5170,5750,3940
"04 Södermanland county","spring triticale",..,..,..,..,..,..,..,..,..,..
"04 Södermanland county","mixed grain",3160,..,..,..,..,..,..,..,..,..
"04 Södermanland county","peas",2910,3070,3500,2630,2130,2880,2520,1890,3490,1870
"04 Södermanland county","field beans",2090,3330,3470,2470,1080,..,2460,..,3220,..
"04 Södermanland county","corn",..,..,..,..,..,..,..,..,..,..
"04 Södermanland county","table potatoes",..,..,..,..,..,..,..,..,..,..
"04 Södermanland county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..
"04 Södermanland county","sugar beets",..,..,..,..,..,..,..,..,..,..
"04 Södermanland county","winter rape",3400,3750,3640,3450,1750,3220,3470,3270,2750,2120
"04 Södermanland county","spring rape",1870,..,2210,..,..,..,..,..,2450,..
"04 Södermanland county","winter turnip rape",..,..,..,..,..,..,..,..,..,..
"04 Södermanland county","spring turnip rape",..,..,..,..,..,..,..,..,..,..
"04 Södermanland county","oil flax",1400,1950,2090,..,..,..,..,..,..,..
"04 Södermanland county","temporary grasses",5130,5950,3770,3540,3680,3910,2680,3540,4510,5240
"04 Södermanland county","temporary grasses. First cut",2850,3700,2690,2510,1920,2590,1960,2590,2790,1880
"04 Södermanland county","temporary grasses. Re-growth",2280,2260,1090,1030,1760,1320,720,..,1720,3360
"05 Östergötland county","winter wheat",7100,7630,6800,7670,5820,7780,7620,6710,7200,5970
"05 Östergötland county","spring wheat",4630,4350,5070,5240,3300,4730,5100,3430,4690,3330
"05 Östergötland county","rye",7010,7470,6870,7440,5930,7410,6660,6570,..,5860
"05 Östergötland county","winter barley",6460,8100,6260,7500,5280,8180,7460,6950,6720,5550
"05 Östergötland county","spring barley",4860,5310,5370,6140,3670,5750,5440,4250,5900,3980
"05 Östergötland county","oats",3920,4200,4750,4970,2730,4820,4570,3330,5040,3190
"05 Östergötland county","Winter triticale",6010,6470,6030,6680,4660,6800,6730,5290,5930,4710
"05 Östergötland county","spring triticale",..,..,..,..,..,..,..,..,..,..
"05 Östergötland county","mixed grain",2960,..,3090,..,..,..,3440,..,..,..
"05 Östergötland county","peas",3560,3900,4230,3910,2680,4080,3720,2620,4100,2590
"05 Östergötland county","field beans",2830,4180,3320,3570,1310,3650,3520,2650,3410,2770
"05 Östergötland county","corn",..,..,..,..,..,..,..,..,..,..
"05 Östergötland county","table potatoes",36490,36150,35460,38910,34620,40180,39450,35600,40370,38890
"05 Östergötland county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..
"05 Östergötland county","sugar beets",..,..,..,..,..,..,..,..,..,..
"05 Östergötland county","winter rape",3610,4080,3140,3210,2570,3280,3700,3380,2920,2870
"05 Östergötland county","spring rape",1490,..,..,..,1510,..,..,..,..,..
"05 Östergötland county","winter turnip rape",..,..,..,..,..,..,..,..,..,..
"05 Östergötland county","spring turnip rape",..,..,..,..,..,..,..,..,..,..
"05 Östergötland county","oil flax",1740,2090,2100,1990,1200,1970,1740,1560,1870,1190
"05 Östergötland county","temporary grasses",4650,6150,4710,5320,3880,5150,4910,5460,4230,4500
"05 Östergötland county","temporary grasses. First cut",2710,3300,2660,3270,2340,3070,2720,3020,2690,2100
"05 Östergötland county","temporary grasses. Re-growth",1950,2860,2050,2050,1530,2080,2190,2440,1540,2400
"06 Jönköping county","winter wheat",5930,6650,5530,6190,3950,6380,6240,5450,5860,4820
"06 Jönköping county","spring wheat",4280,4030,4340,..,..,..,..,..,..,..
"06 Jönköping county","rye",..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","winter barley",..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","spring barley",3840,4100,3810,3990,2150,3540,4230,3160,3990,2110
"06 Jönköping county","oats",3460,4390,3700,3780,2350,3400,4090,3250,3900,2960
"06 Jönköping county","Winter triticale",4530,5020,..,..,..,..,..,5140,5180,3650
"06 Jönköping county","spring triticale",..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","mixed grain",3680,..,3700,3910,..,..,..,..,..,..
"06 Jönköping county","peas",..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","field beans",..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","corn",..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","table potatoes",..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","sugar beets",..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","winter rape",..,..,..,..,..,..,..,3150,3290,..
"06 Jönköping county","spring rape",..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","winter turnip rape",..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","spring turnip rape",..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","oil flax",..,..,..,..,..,..,..,..,..,..
"06 Jönköping county","temporary grasses",4920,5090,4580,5890,3730,5820,5450,6230,5330,5490
"06 Jönköping county","temporary grasses. First cut",2800,2840,2570,3360,2210,3810,3100,3360,3300,2060
"06 Jönköping county","temporary grasses. Re-growth",2120,2250,2010,2540,1520,2010,2350,2870,2020,3430
