"region","crop","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"01 Stockholm county","winter wheat",3.0,2.2,2.6,1.8,3.1,1.7,1.9,2.4,1.4,4.8,2.2,2.3,2.0,1.9,1.9
"01 Stockholm county","spring wheat",7.3,2.2,3.7,3.5,2.3,3.4,6.8,3.5,3.0,8.4,..,..,..,..,7.9
"01 Stockholm county","rye",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","winter barley",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","spring barley",3.3,3.1,3.6,3.3,2.0,2.6,4.3,2.9,3.0,4.9,3.8,1.8,5.0,3.4,4.9
"01 Stockholm county","oats",6.5,5.8,6.2,8.0,3.6,4.5,6.3,8.9,7.0,15.5,5.8,5.4,3.8,5.6,6.3
"01 Stockholm county","Winter triticale",4.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","spring triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","mixed grain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","peas",7.6,3.1,3.4,..,..,3.2,4.1,1.5,2.6,2.8,1.8,1.4,2.9,3.5,5.5
"01 Stockholm county","field beans",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","corn",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","table potatoes",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","winter rape",..,5.5,..,4.1,..,2.8,2.3,1.9,2.5,3.9,1.6,1.4,2.3,3.7,4.3
"01 Stockholm county","spring rape",2.9,3.1,2.7,2.7,2.6,4.2,..,1.2,4.8,3.6,..,..,..,2.7,5.2
"01 Stockholm county","winter turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","spring turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","oil flax",..,3.3,..,..,..,..,..,..,..,..,..,..,..,..,..
"01 Stockholm county","temporary grasses",..,..,12.9,..,13.9,..,19.4,13.8,12.3,11.3,11.6,9.2,10.6,18.5,9.0
"01 Stockholm county","temporary grasses. First cut",10.0,6.5,10.6,..,9.3,..,15.8,9.1,13.3,9.8,9.5,10.9,9.3,16.8,9.1
"01 Stockholm county","temporary grasses. Re-growth",..,..,..,..,..,..,..,..,..,19.0,21.3,..,..,..,..
"03 Uppsala county","winter wheat",1.4,1.8,1.6,1.5,4.1,1.3,0.8,1.2,0.9,2.0,1.0,1.0,0.9,1.1,1.4
"03 Uppsala county","spring wheat",2.6,2.0,2.7,4.1,1.9,2.3,2.4,2.3,2.3,2.9,3.0,2.1,2.7,2.5,2.8
"03 Uppsala county","rye",3.0,..,8.9,3.1,..,9.8,4.6,..,..,8.1,3.7,3.6,5.8,..,..
"03 Uppsala county","winter barley",..,..,..,..,..,..,..,..,..,..,..,..,..,5.5,..
"03 Uppsala county","spring barley",2.1,1.8,1.9,2.0,1.5,1.8,1.9,1.2,2.1,2.0,1.6,1.5,2.6,2.2,3.0
"03 Uppsala county","oats",4.1,6.3,6.3,4.6,3.9,4.4,2.9,4.7,5.4,6.0,2.7,3.5,8.0,2.9,5.4
"03 Uppsala county","Winter triticale",..,..,..,..,..,5.0,4.7,7.8,..,..,..,..,..,..,..
"03 Uppsala county","spring triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"03 Uppsala county","mixed grain",..,..,..,..,5.1,..,..,..,..,..,..,..,..,..,..
"03 Uppsala county","peas",3.7,3.7,3.8,6.4,3.1,1.9,2.0,1.9,1.3,1.9,1.9,1.3,1.6,1.6,2.9
"03 Uppsala county","field beans",..,..,..,..,..,..,..,..,..,..,..,..,4.5,3.3,5.0
"03 Uppsala county","corn",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"03 Uppsala county","table potatoes",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"03 Uppsala county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"03 Uppsala county","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"03 Uppsala county","winter rape",..,3.5,5.3,4.0,..,2.0,2.2,2.4,1.4,3.5,2.0,1.5,1.4,3.5,3.2
"03 Uppsala county","spring rape",1.5,1.7,1.4,1.4,2.0,2.1,5.5,1.8,3.6,3.9,..,1.7,4.2,1.3,2.1
"03 Uppsala county","winter turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"03 Uppsala county","spring turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"03 Uppsala county","oil flax",..,4.1,..,..,..,..,3.5,1.6,..,..,..,..,..,..,..
"03 Uppsala county","temporary grasses",..,..,10.5,17.8,10.8,10.7,14.3,11.4,13.0,8.4,8.5,9.0,9.9,11.3,8.7
"03 Uppsala county","temporary grasses. First cut",7.8,6.3,9.5,11.3,10.9,8.8,9.9,9.0,9.5,6.7,8.0,7.2,8.8,6.7,12.5
"03 Uppsala county","temporary grasses. Re-growth",15.6,16.7,19.0,30.0,..,..,26.9,18.0,..,11.8,15.0,19.0,18.4,18.8,13.1
"04 Södermanland county","winter wheat",1.6,1.9,2.3,1.4,2.5,1.0,1.4,1.3,1.0,1.6,1.2,0.9,1.1,0.9,2.0
"04 Södermanland county","spring wheat",3.1,2.8,2.8,2.6,1.8,3.3,3.2,2.2,2.6,3.3,6.9,4.0,9.2,3.1,5.0
"04 Södermanland county","rye",3.0,10.0,..,..,..,5.8,..,..,..,..,..,2.9,..,..,..
"04 Södermanland county","winter barley",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"04 Södermanland county","spring barley",2.4,4.1,2.1,4.2,1.6,2.2,2.2,2.1,2.0,2.2,3.0,3.3,4.5,2.6,3.6
"04 Södermanland county","oats",3.4,5.4,4.1,3.5,3.5,2.6,5.4,6.0,5.8,8.2,5.0,2.9,6.3,7.5,5.6
"04 Södermanland county","Winter triticale",3.5,4.0,7.0,2.4,6.2,2.1,2.5,4.3,4.5,3.1,3.2,2.0,3.2,2.2,4.6
"04 Södermanland county","spring triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"04 Södermanland county","mixed grain",..,12.4,8.1,11.4,..,5.8,..,..,..,..,..,..,..,..,..
"04 Södermanland county","peas",3.5,4.1,6.2,9.0,5.1,3.3,4.6,2.5,2.8,3.9,3.0,3.9,4.4,3.3,5.3
